test_sample_index,case_rank,similar_case_index,similarity,distance,case_roof_displacement,case_fracture_degree,case_coal_strength,case_floor_strength,case_roof_strength,case_depth,case_width,case_bolt_area,case_anchor_density
27,3,92,0.117409,7.517264,80.0,0.0,18.33,34.57,34.57,370.0,5.0,1.1,1.0
27,4,5,0.115224,7.678759,35.0,1.0,25.0,20.0,60.0,478.0,5.0,0.63,2.22
27,5,119,0.114949,7.699473,97.62,0.0,20.0,35.0,59.24,452.0,4.0,0.72,2.5
28,1,46,0.956622,0.045345,10.0,1.0,11.03,64.0,49.38,660.0,5.2,0.8,3.0
28,2,47,0.328165,2.047245,35.0,1.0,20.0,52.0,60.0,478.0,5.0,0.72,2.22
28,3,27,0.322341,2.102304,162.0,1.0,11.0,58.0,51.18,800.0,4.2,0.56,1.88
28,4,8,0.313823,2.186513,53.0,1.0,11.8,31.05,51.65,650.0,5.2,0.72,1.67
28,5,101,0.30801,2.246651,68.0,1.0,11.03,26.7,42.71,540.0,5.0,0.72,3.33
29,1,139,0.728327,0.373009,7.1,1.0,7.3,13.4,24.98,276.0,4.5,0.81,3.33
29,2,164,0.709381,0.409679,7.2,1.0,8.2,12.7,24.25,278.0,4.8,0.72,3.33
29,3,152,0.493886,1.02476,4.2,1.0,9.0,18.2,37.52,358.0,4.7,0.72,3.33
29,4,143,0.457853,1.184107,11.6,1.0,9.0,13.5,40.24,358.0,5.2,0.72,3.33
29,5,167,0.421619,1.371808,4.2,1.0,9.0,16.8,38.06,321.0,4.7,0.64,2.5
30,1,70,0.514852,0.942305,6.4,1.0,14.0,29.1,45.65,484.0,4.2,0.63,3.33
30,2,55,0.487895,1.04962,61.3,1.0,11.0,27.67,37.45,350.0,4.2,0.64,2.5
30,3,109,0.481322,1.077611,5.0,1.0,14.0,32.9,43.53,321.0,3.9,0.72,2.22
30,4,123,0.47334,1.112646,97.62,1.0,20.0,35.0,59.24,452.0,4.0,0.64,2.5
30,5,173,0.46024,1.172777,5.6,1.0,14.0,32.9,43.53,321.0,4.7,0.72,2.22
31,1,82,0.268659,2.722195,100.0,1.0,12.66,30.33,47.22,855.0,4.0,0.49,1.43
31,2,54,0.241666,3.13795,18.05,1.0,14.74,15.0,19.8,465.0,3.8,0.56,1.25
31,3,14,0.240914,3.150855,46.0,1.0,13.8,28.9,40.46,470.0,3.2,0.64,1.88
31,4,27,0.237535,3.2099,162.0,1.0,11.0,58.0,51.18,800.0,4.2,0.56,1.88
31,5,131,0.236959,3.220141,56.0,1.0,10.1,14.69,30.51,600.0,5.0,0.81,1.67
32,1,77,0.339617,1.944493,92.0,1.0,11.03,66.9,65.71,348.0,2.8,0.64,1.88
32,2,73,0.33934,1.946901,120.0,1.0,14.13,50.0,55.04,450.0,3.6,0.6,2.67
32,3,44,0.336466,1.972072,93.0,1.0,13.89,45.0,63.28,400.0,4.0,0.81,1.67
32,4,123,0.336308,1.973468,97.62,1.0,20.0,35.0,59.24,452.0,4.0,0.64,2.5
32,5,120,0.316205,2.162504,66.0,1.0,23.6,51.4,46.8,145.0,4.0,0.63,1.67
33,1,109,0.628519,0.591042,5.0,1.0,14.0,32.9,43.53,321.0,3.9,0.72,2.22
33,2,173,0.571213,0.750661,5.6,1.0,14.0,32.9,43.53,321.0,4.7,0.72,2.22
33,3,144,0.497814,1.008782,5.8,1.0,14.0,33.5,46.19,289.0,4.2,0.81,3.33
33,4,33,0.488055,1.04895,4.5,1.0,9.0,44.1,40.02,358.0,4.2,0.81,2.22
33,5,67,0.470905,1.123572,5.0,1.0,14.0,31.9,32.04,375.0,4.7,0.8,2.0
34,1,10,1.0,0.0,30.0,0.0,11.03,23.2,24.39,260.0,3.9,1.2,1.0
34,2,30,0.424886,1.35357,37.0,0.0,13.48,16.5,23.01,180.0,4.2,1.44,0.83
34,3,175,0.404442,1.472544,76.0,0.0,3.98,26.11,24.83,100.0,4.0,1.1,1.0
34,4,158,0.404159,1.474276,76.0,0.0,3.98,26.11,25.77,100.0,4.0,1.1,1.0
34,5,68,0.370936,1.695885,16.8,0.0,12.15,23.47,55.16,270.0,4.0,1.21,0.91
35,1,146,0.770892,0.297199,150.0,1.0,10.3,15.0,70.66,850.0,5.0,0.72,2.5
35,2,69,0.328464,2.044473,119.0,1.0,15.9,32.13,63.86,700.0,5.0,0.64,1.25
35,3,8,0.315227,2.172319,53.0,1.0,11.8,31.05,51.65,650.0,5.2,0.72,1.67
35,4,84,0.281604,2.551086,112.0,1.0,11.0,27.67,58.0,550.0,4.6,0.64,1.25
35,5,82,0.279238,2.581168,100.0,1.0,12.66,30.33,47.22,855.0,4.0,0.49,1.43
